country,iso2c,iso3c,year,status,lastupdated,crop_index,livestock_index,agri_va_usd,agri_va_per_worker,region,capital,longitude,latitude,income,lending,svc_va_usd,tourism_receipts_usd,tourism_pct_exports,gdp_usd,country_group,short_name,tourism_pct_gdp
Australia,AU,AUS,1990,,2026-01-28,54.51,81.65,13024879320.1761,NA,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,185607223629.16,NA,NA,311840666465.053,Developed,Australia,NA
Australia,AU,AUS,1991,,2026-01-28,56.22,83.57,10309067977.0603,39607.5795330363,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,199980221658.696,NA,NA,326416407860.792,Developed,Australia,NA
Australia,AU,AUS,1992,,2026-01-28,54.43,81.86,9877735719.04287,39811.9081502281,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,201800664155.447,NA,NA,325982966981.415,Developed,Australia,NA
Australia,AU,AUS,1993,,2026-01-28,59.51,83.25,10125070264.1934,41319.8125131785,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,195589516582.35,NA,NA,312568858909.5,Developed,Australia,NA
Australia,AU,AUS,1994,,2026-01-28,63.46,84.39,10738152888.274,43507.247204431,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,202229678312.003,NA,NA,323269456935.317,Developed,Australia,NA
Australia,AU,AUS,1995,,2026-01-28,51.86,81.98,11059548559.5486,36766.0037757975,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,230215325215.325,10370000000,14.7757453994851,368725126225.126,Developed,Australia,2.8123930978515883
Australia,AU,AUS,1996,,2026-01-28,69.83,80.32,13538684720.2696,43317.4224613808,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,251185697127.696,11882000000,14.8817290249683,401962517479.122,Developed,Australia,2.9559970104966697
Australia,AU,AUS,1997,,2026-01-28,83.17,83.44,14072602797.6165,45829.4682533826,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,276924750469.948,11735000000,13.9050837159778,436321902767.408,Developed,Australia,2.689528058428831
Australia,AU,AUS,1998,,2026-01-28,79.05,87.17,12121006579.3936,45933.4896814861,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,254756155463.61,10169000000,13.9046151575913,400361527504.578,Developed,Australia,2.5399543416128365
Australia,AU,AUS,1999,,2026-01-28,87.5,89.44,11879934828.9259,48776.9693041188,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,251245770146.635,11408000000,15.2472278149506,390347787943.351,Developed,Australia,2.922522005339397
Australia,AU,AUS,2000,,2026-01-28,90.92,91.36,12950253842.8109,51548.0267440189,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,268503143832.537,11594000000,13.8041313058601,416901962163.479,Developed,Australia,2.7809895496374915
Australia,AU,AUS,2001,,2026-01-28,89.66,91.26,13319723816.9756,54081.0399087208,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,244282232175.344,11333000000,13.8926188612151,380360222861.197,Developed,Australia,2.97954394777387
Australia,AU,AUS,2002,,2026-01-28,90.73,92.33,15636469992.9941,59354.3036751644,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,253816245708.931,12148000000,14.3767259914384,396436967262.563,Developed,Australia,3.064295462626293
Australia,AU,AUS,2003,,2026-01-28,60.18,86.07,13527664531.159,50944.831775375496,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,301423412929.528,14981000000,15.9222264911667,468517181129.878,Developed,Australia,3.1975348190800084
Australia,AU,AUS,2004,,2026-01-28,92.87,87.7,18827713757.2912,65779.8123207017,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,395962441314.554,18032000000,15.6933971554238,615643050220.515,Developed,Australia,2.9289699597097996
Australia,AU,AUS,2005,,2026-01-28,89.88,88.21,20132381628.9481,69292.2638721007,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,449003003206.176,19719000000,14.3464235453513,696811489612.816,Developed,Australia,2.829890191815993
Australia,AU,AUS,2006,,2026-01-28,93.3,91.2,20542857955.7621,73067.3567455013,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,478366244932.981,20408000000,12.7421767563573,749708370332.989,Developed,Australia,2.722125136596197
Australia,AU,AUS,2007,,2026-01-28,59.11,90.75,18955012954.3849,61744.3569688411,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,551556881526.262,25024000000,13.4179065997681,856603595823.192,Developed,Australia,2.9213045709844416
Australia,AU,AUS,2008,,2026-01-28,69.37,87.8,24917767428.2021,66949.3551213255,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,682915321490.411,27189000000,11.4237554459534,1058448244063.77,Developed,Australia,2.5687604615990938
Australia,AU,AUS,2009,,2026-01-28,84.7,86.85,21563161723.3448,79850.8170307095,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,597241487973.753,26909000000,13.4685129534239,931761689770.843,Developed,Australia,2.887970206911811
Australia,AU,AUS,2010,,2026-01-28,85.64,85.88,25566790564.9409,77717.8935281908,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,757491148026.142,31064000000,11.6658934570685,1152566632022.13,Developed,Australia,2.695202093912741
Australia,AU,AUS,2011,,2026-01-28,99.76,86.4,32335794562.1599,90374.964621105,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,906688896272.466,34315000000,10.3846746843445,1402939868653.4,Developed,Australia,2.445935194138931
Australia,AU,AUS,2012,,2026-01-28,111.34,88.46,35296289192.606,90636.1633799827,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,1011700809064.49,34137000000,10.7509289786024,1552728401401.58,Developed,Australia,2.198517137265347
Australia,AU,AUS,2013,,2026-01-28,103.58,95.07,36279753080.5935,95216.6410530138,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,1048450290387.81,32889000000,10.5118033628256,1583737461925.39,Developed,Australia,2.0766699526079284
Australia,AU,AUS,2014,,2026-01-28,102.87,100.86,32840433061.8664,97859.1120562645,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,967839840920.546,35736000000,11.8867749890493,1474677007565.64,Developed,Australia,2.4233103124725663
Australia,AU,AUS,2015,,2026-01-28,97.94,102.38,32246443431.4449,103583.358219968,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,911456647677.778,36249000000,14.8823671055696,1356805839935.9,Developed,Australia,2.671642392231487
Australia,AU,AUS,2016,,2026-01-28,99.19,96.76,29235649687.5746,95079.8992554805,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,825760244815.719,39059000000,15.57172006122,1211588128417.61,Developed,Australia,3.2237853016117657
Australia,AU,AUS,2017,,2026-01-28,131.17,90.98,36213308354.9971,102657.913608251,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,890791425612.901,43975000000,14.8261635650799,1330890554614.09,Developed,Australia,3.3041785327532924
Australia,AU,AUS,2018,,2026-01-28,104.5,97.18,35426161907.4195,96342.6110195649,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,954360059529.346,47327000000,14.4577634132987,1433144978761.67,Developed,Australia,3.302317679045535
Australia,AU,AUS,2019,,2026-01-28,84.09,97.71,29704429023.1289,86227.8919994057,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,923575803045.181,47953000000,14.0034431885341,1398349602956.35,Developed,Australia,3.4292568824433576
Australia,AU,AUS,2020,,2026-01-28,76.66,90.62,26868425092.3914,73141.6013562066,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,883398100621.35,26234000000,8.70537003723551,1333336461648.09,Developed,Australia,1.9675453836740562
Australia,AU,AUS,2021,,2026-01-28,129.02,87.88,35978144132.001,94919.9235387709,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,1025734605397.99,NA,NA,1560617493202.69,Developed,Australia,NA
Australia,AU,AUS,2022,,2026-01-28,146.08,87.48,45314408069.1166,121373.342789498,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,1074396691900.19,NA,NA,1695627535475.8,Developed,Australia,NA
Australia,AU,AUS,2023,,2026-01-28,NA,NA,44604854016.0724,126030.037813838,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,1103745507410.25,NA,NA,1734451264655.6,Developed,Australia,NA
Australia,AU,AUS,2024,,2026-01-28,NA,NA,35766874141.9844,114876.421157035,East Asia & Pacific,Canberra,149.129,-35.282,High income,Not classified,1162092987579.02,NA,NA,1757022451652.83,Developed,Australia,NA
Brunei Darussalam,BN,BRN,1990,,2026-01-28,50.93,12.27,34710715.119078,NA,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,1512332308.89576,NA,NA,6039881086.68157,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1991,,2026-01-28,53.48,14.71,37140401.1461318,20320.5733806462,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,1707013921.44945,NA,NA,6284497293.85546,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1992,,2026-01-28,50.9,23,40844596.6063155,21520.9311090204,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,1904455031.93128,NA,NA,6327966435.17026,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1993,,2026-01-28,56.93,22.66,46206780.4561357,24052.0287676581,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2043412978.53497,NA,NA,6203339912.15448,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1994,,2026-01-28,58.86,24.44,55380491.8543659,26390.0719600689,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2349368291.07974,NA,NA,6467782517.72242,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1995,,2026-01-28,64.17,24.43,55899603.1396067,25897.4207944874,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2618569679.86595,NA,NA,7700144069.1419,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1996,,2026-01-28,67.54,19.55,68393685.0063225,24807.4226576513,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2786269548.19044,NA,NA,7663377306.04996,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1997,,2026-01-28,65.59,28.24,73536677.5188139,31496.3971256407,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2621582886.9226,NA,NA,7793034376.20807,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1998,,2026-01-28,62.91,34.62,63854070.4420764,31856.351736940702,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2182260178.94338,NA,NA,5550846019.54348,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,1999,,2026-01-28,71.89,44.16,68173115.8961555,36727.6924862017,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2311018627.6112,NA,NA,6309070377.5966,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,2000,,2026-01-28,81.62,50.11,70230219.5580764,39514.7751683723,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2270567407.76919,NA,NA,6570999087.56742,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,2001,,2026-01-28,83.49,59.15,72434076.0262608,41650.7414649004,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2313732591.47759,155000000,3.75690970609154,6096155767.38145,ASEAN,Brunei,2.5425859494823717
Brunei Darussalam,BN,BRN,2002,,2026-01-28,85.84,66.66,73114809.2135098,44138.8122598175,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2384663697.06487,113000000,2.73238615176788,6333082875.56937,ASEAN,Brunei,1.7842810874291746
Brunei Darussalam,BN,BRN,2003,,2026-01-28,89.05,64.5,88683278.3926832,47597.0516643407,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2449067463.06215,124000000,2.55127870024987,7167725261.92713,ASEAN,Brunei,1.7299770215615253
Brunei Darussalam,BN,BRN,2004,,2026-01-28,97.62,60.43,100887040.091633,53585.1732370553,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2631280513.63485,181000000,3.22461510483074,8619178773.51458,ASEAN,Brunei,2.0999680451713725
Brunei Darussalam,BN,BRN,2005,,2026-01-28,87.84,41.94,102794225.175844,55264.9464800605,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,2928127904.58046,191000000,2.7854456849702,10547202620.5286,ASEAN,Brunei,1.810906710261223
Brunei Darussalam,BN,BRN,2006,,2026-01-28,79.1,78.06,95434294.5863671,49676.3649410187,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,3313994737.3489,224000000,2.67575338155561,12644616418.691,ASEAN,Brunei,1.771504904402541
Brunei Darussalam,BN,BRN,2007,,2026-01-28,79.57,82.34,97562540.5579715,46343.5790572843,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,3729845624.25105,233000000,2.73958466327967,13432029484.4012,ASEAN,Brunei,1.734659682444757
Brunei Darussalam,BN,BRN,2008,,2026-01-28,80.67,85.06,110237537.283891,48989.9890025175,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,3944265989.82336,242000000,2.09252959147912,15926456515.0049,ASEAN,Brunei,1.519484260494498
Brunei Darussalam,BN,BRN,2009,,2026-01-28,82.99,85.2,116736641.575614,52417.7813957086,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,4004444959.29722,254000000,3.14092381811783,11912904509.8582,ASEAN,Brunei,2.132141660245906
Brunei Darussalam,BN,BRN,2010,,2026-01-28,87.2,89.42,100521155.342576,43707.218129181,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,4455231538.62571,NA,NA,13707121038.4383,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,2011,,2026-01-28,90.86,96.67,106105430.184758,42395.5802357116,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,5067886491.35513,NA,NA,18524791062.657,ASEAN,Brunei,NA
Brunei Darussalam,BN,BRN,2012,,2026-01-28,90.67,98.59,124797149.732667,46007.9061350708,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,5386969246.14686,92000000,0.688381672629226,19048443340.7732,ASEAN,Brunei,0.4829790988908472
Brunei Darussalam,BN,BRN,2013,,2026-01-28,93.78,107.37,123933594.742824,45730.6134529954,East Asia & Pacific,Bandar Seri Begawan,114.946,4.94199,High income,Not classified,5653675611.3897,96000000,0.778711025555068,18094148098.6536,ASEAN,Brunei,0.5305582748443595
