iso2c,iso3c,country,short_name,year,country_group,food_bev_tobacco,textiles_clothing,chemicals,machinery_transp,other_mfg,med_hitech_pct
AU,AUS,Australia,Australia,1990,Developed,17.9957830281324,6.06550748079256,7.3031598405638,15.617237594593,53.0183120559182,28.4010166945873
AU,AUS,Australia,Australia,1991,Developed,18.5154667970114,5.74261573912436,7.83464841840654,14.7587458976328,53.1485231478249,28.0594930521612
AU,AUS,Australia,Australia,1992,Developed,20.3318611225479,6.30597472674396,8.60323886601359,6.39645442303409,58.3624708616604,21.0020242908567
AU,AUS,Australia,Australia,1993,Developed,21.823674628851,6.35611302834082,8.89888031279741,14.9764000921129,47.9449319378979,26.8512360361173
AU,AUS,Australia,Australia,1994,Developed,21.7365494983131,6.33073796324069,8.86335393506368,14.9166108570376,48.152747746345,27.7561237493863
AU,AUS,Australia,Australia,1995,Developed,19.7319783598756,5.48716805289908,7.92095473843171,14.0992994355873,52.7605994132063,25.5794031699585
AU,AUS,Australia,Australia,1996,Developed,19.7319783611251,5.48716805332269,7.92095473907788,14.0992994355586,52.7605994109157,24.7462360796555
AU,AUS,Australia,Australia,1997,Developed,19.723248875629,4.91160885247362,8.81573674132787,14.3017767288596,52.2476288017099,25.2894420447967
AU,AUS,Australia,Australia,1998,Developed,19.6572372496387,5.04798026451634,8.22674071095558,15.839464446787,51.2285773281024,26.3592597020116
AU,AUS,Australia,Australia,1999,Developed,21.0634917359635,4.71287373872851,8.40847656975425,15.1889070012174,50.6262509543363,25.9827084579989
AU,AUS,Australia,Australia,2000,Developed,21.1454635557309,4.68561950706433,8.37201775943849,14.8932512111007,50.9036479666657,25.5994821849368
AU,AUS,Australia,Australia,2001,Developed,22.1137119663076,4.20239875484481,8.28475803908404,13.7180700094607,51.6810612303029,24.0689311400698
AU,AUS,Australia,Australia,2002,Developed,21.1660068506159,3.64663405770655,7.53944105966214,13.1067504080213,54.5411676239941,22.8218396895724
AU,AUS,Australia,Australia,2003,Developed,20.460362964935,3.41126808296781,6.90120723396479,13.0086620558897,56.2184996622426,21.9816078584878
AU,AUS,Australia,Australia,2004,Developed,20.1579159006795,3.42085733060533,6.98012933292609,13.65996160953,55.781135826259,22.7321242207043
AU,AUS,Australia,Australia,2005,Developed,19.4977115288009,2.89287017797041,7.13180365791805,13.2528394753818,57.2247751599288,22.4837519461845
AU,AUS,Australia,Australia,2006,Developed,18.8294445806336,2.5459323752573,7.30780046676082,13.5104004094285,57.8064221679198,23.0062181548748
AU,AUS,Australia,Australia,2007,Developed,20.2584937879056,2.76354786158708,6.83821075977939,19.6431725843491,50.4965750063789,26.4813833441284
AU,AUS,Australia,Australia,2008,Developed,20.3885935594388,2.78178618975357,7.02987534097362,19.1494511837487,50.6502937260853,26.1793265247223
AU,AUS,Australia,Australia,2009,Developed,21.4962713495309,2.7404378157325,7.97786865528025,20.0519605484725,47.7334616309839,28.0298292037527
AU,AUS,Australia,Australia,2010,Developed,23.8724220232145,2.95893596621856,8.69729299687889,19.1193570102609,45.3519920034271,27.8166500071398
AU,AUS,Australia,Australia,2011,Developed,23.5650993073399,2.85368164987935,8.87367012182612,15.5208628454752,49.1866860754794,26.9854140818101
AU,AUS,Australia,Australia,2012,Developed,24.9232609910855,2.73514499504751,8.49081583618551,16.8100108856613,47.0407672920201,27.9457482175955
AU,AUS,Australia,Australia,2013,Developed,26.679955612182,2.69512145000206,8.47581274916773,16.7605112819037,45.3885989067445,27.8112284739633
AU,AUS,Australia,Australia,2014,Developed,27.1343542687085,2.6009052018104,8.98588463843594,15.9546985760638,45.3241573149813,27.260421187509
AU,AUS,Australia,Australia,2015,Developed,26.552576573679598,2.66701503336281,9.18381702709221,16.7125572795241,44.8840340863413,26.1224776911327
AU,AUS,Australia,Australia,2016,Developed,25.6788979977928,2.40718114456882,9.13507015607757,18.9214488412423,43.8574018603185,26.69576698723
AU,AUS,Australia,Australia,2017,Developed,25.4641830078458,2.44691830579465,8.08925941141695,17.997174320384,46.0024649545587,26.5533722782793
AU,AUS,Australia,Australia,2018,Developed,24.9622761480863,2.34125138795304,8.22996839737689,18.0884683641609,46.3780357024229,25.9843790037107
AU,AUS,Australia,Australia,2019,Developed,24.9488380553913,2.22111055527764,8.03219791714039,18.5147119014052,46.2831415707854,26.2594933830552
AU,AUS,Australia,Australia,2020,Developed,26.3926940639269,2.1647563134843,8.70748299319728,18.9833193551393,43.7517472742522,27.3357562202963
AU,AUS,Australia,Australia,2021,Developed,25.441466828576502,2.22934954903179,9.39293096895596,20.0215055756913,42.9147470777445,28.8541985511682
AU,AUS,Australia,Australia,2022,Developed,23.4481148781352,2.11532889017676,9.4706848256544,19.4653723558389,45.5004990501948,29.1257367387033
AU,AUS,Australia,Australia,2023,Developed,23.5924752711951,1.95365030033171,8.40854077637988,20.6257657711502,45.4195678809431,NA
AU,AUS,Australia,Australia,2024,Developed,NA,NA,NA,NA,NA,NA
BN,BRN,Brunei Darussalam,Brunei,1990,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1991,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1992,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1993,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1994,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1995,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1996,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1997,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1998,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,1999,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2000,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2001,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2002,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2003,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2004,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2005,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2006,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2007,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
BN,BRN,Brunei Darussalam,Brunei,2008,ASEAN,NA,NA,NA,NA,NA,3.31993244448281
