iso2c,iso3c,country,year,country_group,is_thailand,gdp_current_usd,gdp_constant_2015_usd,gdp_pc_current_usd,gdp_pc_constant_2015,gdp_ppp_current,gdp_pc_ppp_current,population,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp,manufacturing_pct_gdp,gdp_growth_annual,gdp_pc_growth_annual,region,income,lending
TH,THA,Thailand,1960,ASEAN,TRUE,2760750860.62197,15908737340.2353,102.814571454958,592.465635112506,NA,NA,26851747,36.4443804267702,18.5164920445915,NA,12.5367660432471,NA,NA,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1961,ASEAN,TRUE,3034037810.96795,16761787111.17,109.728794269464,606.205592712551,NA,NA,27650334,35.8382304747796,19.1646535122982,NA,12.9929991097867,5.362146301688098,2.319114693873492,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1962,ASEAN,TRUE,3308912796.93487,18028015159.5532,116.179493337844,632.983035716153,NA,NA,28481040,34.0027004911291,20.9429427190633,NA,14.0441257319833,7.554254447841013,4.417221372667091,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1963,ASEAN,TRUE,3540403456.55305,19470225866.57,120.658598748696,663.55436582592,NA,NA,29342322,33.0655231256479,21.0270025450935,NA,14.1807217319458,7.999830786988005,4.829723449883416,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1964,ASEAN,TRUE,3889129942.30769,20800236244.6861,128.642226903734,688.017307298417,NA,NA,30232141,30.6341992934479,21.7000284229085,NA,13.8606251051099,6.830996143705259,3.686652176879024,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1965,ASEAN,TRUE,4388937649.03846,22502041173.2635,140.899873696781,722.392299176819,NA,NA,31149337,31.923245627807,22.8853351691201,NA,14.1717756955314,8.181661537676831,4.996239413421089,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1966,ASEAN,TRUE,5279230817.30769,25004834864.431,164.533414431069,779.304978301365,NA,NA,32086071,33.4002074220439,22.5055554922633,NA,13.6473661878245,11.122518494638921,7.878361824925206,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1967,ASEAN,TRUE,5638461442.30769,27159247018.8168,170.666971518706,822.065821475732,NA,NA,33037801,29.2437763343072,24.9574526766278,NA,15.2598913755097,8.615982333282336,5.487048634999336,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1968,ASEAN,TRUE,6081009427.88461,29365194461.0555,178.839752885801,863.617164738641,NA,NA,34002560,28.6829270021221,24.9057208928514,NA,15.257382689677,8.1222702555426185,5.054503201254379,East Asia & Pacific,Upper middle income,IBRD
TH,THA,Thailand,1969,ASEAN,TRUE,6695336567.30769,31288808475.0258,191.438734515692,894.636115562961,NA,NA,34973782,28.6847176406452,24.9366318766508,NA,15.5606293176481,6.550659885877552,3.591747835825765,East Asia & Pacific,Upper middle income,IBRD
